state_abbreviation,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210,Bernie Sanders,Donald Trump,Hillary Clinton,John Kasich,Ted Cruz,HilaryPercent
SC,148469,136589,8.7,136555,6.5,25.5,11.7,51.2,68.8,25.9,0.7,1.8,0.1,2.5,4.9,64.9,84.1,4.3,6.2,89.4,24.5,14715,28.1,57688,70.7,16.7,167400,50321,2.74,24495,53857,12.1,2113,24523,0.7,8650,9692,15.6,0.3,0,0,2,29.6,2361389,170198,879527,7092,104021,1055,573.23,238.2,0,0,0,0,0,0
TX,6435,6461,-0.4,6461,4.6,18.4,11.4,35.4,90.2,7.4,0.8,0.7,0.1,0.9,50,42.3,73.5,39.5,51.5,62.3,9.5,268,15,2223,75.9,7.1,72000,1588,2.54,16175,47540,15.5,124,1372,6.1,342,0,0,0,0,0,0,0,0,9988,34963,7370,6171,0,893.41,7.2,0,0,0,0,0,0
OH,36516,36901,-1,36901,6,23.5,17.9,50.5,96.9,1.2,0.3,0.3,0,1.2,0.9,96.2,88.8,0.5,5.3,84.9,12.3,3352,23.9,16356,73.9,10.5,93300,14495,2.51,20526,41274,16.9,638,9174,1,2261,2709,0,0,0,0,0,26.9,1222877,0,259193,7151,22685,3,563.91,65.4,0,0,0,0,0,0
MT,97308,89510,8.7,89513,5.8,20.5,11.2,48.6,95.1,0.4,1,1.4,0.1,1.9,3.1,92.4,75.2,2.7,4.2,96.1,46,5744,16.8,44870,61.8,28.2,261900,36973,2.36,28939,52833,14.1,4962,38950,4.1,11075,14742,0,0.8,0.5,0,1.1,23.7,512617,508818,1791758,20524,325789,1191,2602.69,34.4,0,0,0,0,0,0
GA,9132,9507,-3.9,9315,6.9,23.6,17.7,52.5,37.2,60.3,0.6,0.4,0.2,1.3,2.6,35.6,85.3,1.2,2.4,65.6,8.7,668,22.1,4157,63.4,8.7,78800,3351,2.66,16836,32628,31.6,164,1705,-0.5,660,550,0,0,0,0,0,45.5,0,0,68284,6657,0,3,335.44,27.8,0,0,0,0,0,0
PA,145797,148289,-1.7,148289,4.7,19.5,19.3,48.9,94.8,3.3,0.2,0.6,0,1.1,3.6,91.9,90,1.9,4.5,86.4,14.3,13883,25.6,69072,75.1,13.6,93500,59658,2.36,23021,45012,12.8,2804,40381,-1,6645,8794,0.6,0,1.8,0,0.9,27.7,3043381,1070243,1317896,8952,135797,134,778.63,190.4,0,0,0,0,0,0
IA,20343,20880,-2.6,20880,5.8,21.2,20.4,49.9,96.6,1.2,0.2,0.8,0.1,1.1,2.2,94.6,87.1,0.9,2.6,88.9,18.4,1717,21.1,9522,77.6,10.3,85400,8328,2.4,23391,45542,11.5,553,6298,0.6,1412,1891,0,0,0,0,0,0,157746,304189,157244,7716,14582,24,730.81,28.6,0,0,0,0,0,0
VA,99428,96919,2.6,97032,7.2,22.1,14.9,52.3,65.4,29,0.4,2.3,0.1,2.8,5.9,60.7,80.6,6.6,8.8,81.8,23.6,7732,18.4,47378,54.8,33.1,134700,42494,2.24,23295,38145,22.4,3180,66575,2.6,5307,7102,8.5,0,4.7,0,0,25.9,1582354,2233606,2039763,21922,267171,49,42.56,2279.8,0,0,0,0,0,0
AZ,37957,37220,2,37220,7.7,28.3,12.3,46.5,81.1,2.1,14,0.7,0.2,1.8,32.1,51.4,83.7,5,20.1,84.4,12.3,2695,22.2,13238,74.3,9.8,122200,11031,3.01,17168,44943,22.3,487,6499,2.4,1314,1603,0,0,0,0,0,0,0,67967,389416,11211,34671,87,4622.6,8.1,0,0,0,0,0,0
CO,16177,15445,4.7,15445,7.7,23.9,12.6,49.6,87.8,1.9,5.5,1.6,0.3,3,45.5,49.5,78.6,6.7,22.6,84.7,24.2,1121,15,6684,61.5,17.5,137300,5891,2.51,19487,34520,26.5,475,5383,-2.7,1096,1341,0,0,0,0,19.4,25.4,0,85315,262997,17193,30297,52,722.64,21.4,0,0,0,0,0,0
FL,256380,247335,3.7,247336,5.6,18.1,12.5,51.7,70.6,20.5,0.3,5.9,0.1,2.6,9.1,62.6,74.2,10.7,13.8,91.2,40.5,17015,19.9,114060,54.1,37.4,167900,96043,2.43,24857,42149,24.9,5850,84425,2,16536,20676,7.8,0,3.8,0,6.7,31.6,0,0,3152244,13124,493980,762,875.02,282.7,0,0,0,0,0,0
MS,14745,14962,-1.5,14962,6.3,24.2,17.6,51.9,70.5,28,0.2,0.1,0,1.1,5.6,65.5,85.7,3.2,5.3,68.2,9.5,805,23.7,6923,70.5,6.6,61500,5944,2.46,17034,30000,23.7,257,2654,-2.7,955,1101,0,0,0,0,0,27.2,235326,29012,94108,6445,2525,2,586.57,25.5,0,0,0,0,0,0
OK,13806,14003,-1.4,14003,4.9,21.6,18.8,46.5,67.7,5.8,19.3,0.3,0.1,6.9,4.7,64.5,88.3,1.6,6.2,77.3,10.9,1016,25.6,6246,76.9,3.4,66200,4920,2.47,18268,34619,21.1,226,2421,0.5,740,889,0,9.1,0,0,0,21.6,0,7935,87460,6407,9340,2,804.65,17.4,0,0,0,0,0,0
MI,25675,26150,-1.8,26152,4,17.8,24.7,50.2,93.2,0.6,3,0.4,0,2.8,1.4,92.2,87.7,1,2.1,87.8,16.3,2719,26.4,18286,81.1,4.8,112500,11477,2.24,23412,38410,17.8,754,4759,2.2,1899,2810,0,4.2,0,0,0,30.2,0,0,316945,11806,45986,54,715.26,36.6,0,0,0,0,0,0
NE,2901,2908,-0.2,2908,5.7,21.7,23.8,49.6,97.9,0.3,0.6,0.2,0,1.1,3.3,94.8,90.5,1.2,2.4,92.9,13.8,310,17.8,1736,73.3,2.9,62300,1366,2.07,23554,39702,15.5,67,382,-3,236,304,0,0,0,0,0,15.1,0,18708,0,0,1048,0,709.94,4.1,0,0,0,0,0,0
AL,206655,195218,5.9,195085,6,24.4,13,51.2,84,12.1,0.4,2.2,0,1.3,6,78.5,86.6,6,8.3,91.2,40.3,13991,29,83498,79,12.1,193000,74144,2.64,33313,68770,7.9,4845,76137,2.1,15634,18393,5.7,0.6,0,0,2,30.5,1723017,4385596,2520488,13737,301893,896,784.93,248.5,0,0,0,0,0,0
IL,36007,37069,-2.9,37069,5.1,20.2,18.9,47.8,94.2,3.9,0.6,0.4,0,0.9,2.7,92.2,87.6,1.7,3.2,86.4,14.5,3195,27,16180,75.5,10.9,80600,14610,2.37,22318,45130,13.3,662,6412,-8.3,1774,2540,0,0,0,0,0,28.8,0,0,288858,7843,29399,44,865.6,42.8,0,0,0,0,0,0
WI,169511,166994,1.5,166994,5.6,20.8,14.7,49.7,93,2,0.7,2.7,0,1.6,3.9,89.6,85.5,3.2,5.4,91,25.5,12863,18.4,74185,66.3,28.1,141300,68140,2.33,26955,51010,12.3,3489,83823,-1.4,8117,10710,0,0.3,0,0,0.8,23.4,9198861,1109192,1796479,11126,212069,511,434.49,384.3,0,0,0,0,0,0
WV,61785,62266,-0.8,62264,6.4,21,19.3,52.1,91.2,6.3,0.2,0.6,0,1.7,1,90.4,88.2,1.3,3,80.9,17.7,5385,22.2,29825,72.2,11.4,79400,25641,2.38,20391,34842,22.2,1304,18552,0.3,2968,3671,3.5,0,0,0,0,32.8,252489,0,765556,12455,88355,5,418.99,148.6,0,0,0,0,0,0
NM,17310,17864,-3.1,17866,6.2,23.4,16.8,49.1,81.5,1.3,13.3,1.5,0.1,2.4,49.3,35.8,93.5,5.6,44.8,78.7,19.4,1295,19.1,7998,71.9,8.2,122800,5329,3.23,18104,34036,25.1,228,2940,9.9,796,1035,0,0,0,0,30.1,35.3,0,0,126228,6955,24224,1,6646.68,2.7,0,0,0,0,0,0
TX,50902,50845,0.1,50845,6.9,25.6,16.1,48.9,80.9,15,1.6,0.6,0,1.9,22,61.4,86.7,10.1,17.5,76.7,15.1,3552,23.8,20977,71.8,5.9,76300,17422,2.76,18801,38378,24.5,777,11106,-0.7,3077,3609,0,0,0,0,0,21.7,552521,0,363156,7547,36459,6,1052.91,48.3,0,0,0,0,0,0
NC,181423,168878,7.4,168878,6.5,26.4,12.3,50.9,80.4,16,0.9,0.8,0.1,1.9,13.4,68.9,89.6,7.6,12.1,83.2,20.4,12752,28.7,70082,71.6,7.2,141200,60759,2.81,22410,49711,17.2,3040,38299,6.1,11251,13283,9.3,0,1.7,0,0,28.7,2418261,820864,1971715,12565,197202,1280,791.3,213.4,0,0,0,0,0,0
MO,10159,10148,0.1,10144,5.9,21.7,17,50.2,91.6,5.6,0.6,0.2,0.1,1.9,1.4,90.6,87.8,1.3,1.9,85.6,22.7,842,24.5,4543,74,8.5,96400,3825,2.46,21598,42747,18.2,192,1942,1.3,676,946,0,0,0,0,0,0,0,19306,88059,8968,3435,1,463.85,21.9,0,0,0,0,0,0
MD,72952,75087,-2.8,75087,4.8,17.6,19.2,47.8,88.8,8.2,0.2,1,0.1,1.8,1.6,87.4,86.5,2.1,4.7,87.3,16.8,6754,21.5,33222,69.8,19,121300,28433,2.34,21211,39293,17.4,1613,24448,1.1,3087,5071,0,0,0.6,0,0,26.9,0,0,865196,11907,124706,25,424.16,177,0,0,0,0,0,0
KY,8430,8319,1.3,8314,4,15.3,23.4,44.4,92.5,5.7,0.2,0.3,0,1.3,1.6,91,82.1,0.6,2.6,83.5,13.3,913,23.7,4807,78.3,10.7,105500,3294,2.12,22123,40112,16.8,140,1098,1.6,493,0,0,0,0,0,0,0,0,0,60988,7316,12199,3,213.84,38.9,0,0,0,0,0,0
KY,6745,6856,-1.6,6856,5.6,21.4,20.7,51.2,95.5,2.8,0.1,0.2,0,1.4,1.1,94.5,91.6,0.5,1.6,73,13.9,470,22,3652,75.5,6,63400,2604,2.59,17697,31593,23.6,110,1294,11.7,582,946,0,0,0,0,0,0,0,0,44182,6484,4529,0,305.18,22.5,0,0,0,0,0,0
WV,7513,7627,-1.5,7627,4.9,19.1,20.7,49.8,98.2,0.3,0.3,0.2,0,1,1.1,97.2,79.8,0.3,0.9,76.6,10.2,635,34.3,3952,79.4,3.1,75900,3141,2.41,18053,31679,22,109,1074,6.4,521,900,0,0,0,0,0,0,0,0,34099,4714,1305,0,279.25,27.3,0,0,0,0,0,0
IA,11836,12072,-2,12072,6,21,22.4,50.4,97,0.9,0.3,0.6,0.2,1,3.2,94.2,86.9,0.9,3.2,91.6,19.6,1163,15.3,5791,74.9,12.8,80200,5354,2.17,26330,48977,9.7,354,4379,-3.2,812,796,0,0,0,0,0,0,279270,114673,139445,11935,8706,6,576.91,20.9,0,0,0,0,0,0
MI,36559,37069,-1.4,37069,5.1,20.3,21.4,50.4,94.6,0.3,2.5,0.4,0,2.2,1.1,93.7,89.7,1.2,2.3,91.4,18.2,4361,18,20193,79.3,10.2,100200,15885,2.29,22471,42676,16.4,1064,11848,-0.5,2015,3284,0,0,0,0,0,0,712562,0,459804,12298,46419,47,1171.1,31.7,0,0,0,0,0,0
OR,22335,22364,-0.1,22364,4.3,15.5,31.3,50.7,92.7,0.4,2.3,1,0.1,3.5,6.5,87.1,84.4,3.4,4.6,91.3,20.7,3554,13,12607,67.8,13,230100,10355,2.13,23972,39516,15,660,5077,9.3,1790,2490,0,1.2,0,0,0,26.4,190654,0,227007,10555,56246,42,1627.46,13.7,0,0,0,0,0,0
WV,29126,29211,-0.3,29211,5.4,21.8,19,50.7,97.9,0.5,0.3,0.4,0,1,0.8,97.2,88.4,0.4,1.1,84.6,15.8,2839,30,13262,77.7,9.6,101800,11459,2.53,22527,40376,19,514,6685,-0.1,1509,1967,0,0,0,0,0,20.1,1296649,77382,325186,11504,31817,2,464.35,62.9,0,0,0,0,0,0
WV,7634,7605,0.4,7605,4.6,19.4,18.3,46.4,97,1.5,0.2,0.1,0,1.1,0.9,96.2,90.7,0.3,0.9,89.2,10.5,674,27.7,3376,83.7,8.7,97300,2747,2.58,21312,41859,14.6,112,2103,-9.8,295,491,0,0,0,0,0,0,0,0,40436,5404,6573,5,130.1,58.5,0,0,0,0,0,0
NE,6969,6940,0.4,6940,10.1,35.6,12.1,50.6,40.3,0.6,56.4,0.3,0,2.3,4.5,38.4,89.4,1,7.3,86.3,15.8,400,16.7,2417,67,9.9,68500,2050,3.33,17106,41400,26.9,122,1282,-8.8,294,302,0,0,0,0,0,0,0,114984,54072,7443,0,2,393.58,17.6,0,0,0,0,0,0
GA,21198,21992,-3.6,21992,5.4,22.4,18.6,52,58.2,39.4,0.4,0.7,0,1.2,2.2,56.5,84.3,0.7,1.7,73,8.9,1383,30.2,9911,69.9,4.6,91200,8135,2.62,18821,37333,21.1,302,3248,-2.9,1494,2142,22.9,0,0,0,0,28.6,233413,0,100756,4421,14833,24,501.22,43.9,0,0,0,0,0,0
NC,52970,54691,-3.1,54691,5.5,21.9,18.3,52.2,40.8,53.2,4,0.8,0.1,1.2,2.7,39.1,86.3,1.7,2.6,75.8,11.8,3537,21.9,25705,61.8,9,86100,21550,2.45,17937,32329,27.4,992,12123,-2.3,2489,3036,26.2,0,0,0,0,29.4,0,77112,610319,11061,71947,54,724.09,75.5,0,0,0,0,0,0
NE,4369,4500,-2.9,4500,4.3,20.7,26.2,50.3,98.1,0.2,0.4,0.2,0,1.1,2.5,95.8,87.7,0.9,3.1,93,13.7,469,18.5,2450,76.1,6.6,52300,2119,2.08,22448,37594,11.1,170,1123,0.1,363,487,0,0,0,0,0,0,0,147022,53345,11844,2118,2,575.16,7.8,0,0,0,0,0,0
KY,13409,13876,-3.4,13878,5.8,21.1,15.4,50,97.9,0.5,0.1,0.7,0.1,0.7,0.8,97.2,90,0.7,1.7,63.8,9.8,566,27.6,6205,75,6.3,47400,5290,2.52,14706,24045,32.5,227,3135,-2.3,570,0,0,0,0,0,0,0,0,0,103735,6652,8742,1,492.41,28.2,0,0,0,0,0,0
NC,56250,52201,7.8,52217,5.5,22.5,17.1,50,79.7,16.8,0.9,0.7,0.1,1.9,6.4,74.4,87,3.9,5.7,86.7,21.7,4856,29.2,27224,77.3,6.8,155600,20254,2.57,23526,44524,19.3,950,7548,1.8,3911,4892,10.4,0,0,0,0,32.3,0,583880,331801,6674,35467,459,869.8,60,0,0,0,0,0,0
IL,5815,6161,-5.6,6161,5.1,21.9,20.2,51.9,64.7,32.3,0.5,0.2,0.1,2.2,1.9,63.6,89,1.7,2.5,80.2,12,552,28.4,3129,78.1,11.6,55300,2419,2.45,19867,33717,18.8,98,652,-9.4,323,264,0,0,0,0,0,0,0,0,31840,4941,0,3,199.19,30.9,0,0,0,0,0,0
GA,267542,259467,3.1,259424,7.8,28.3,8.3,52.6,23.6,68.3,0.6,5.3,0.1,2.1,13.1,13.5,79.1,15.2,20.5,81.7,18,18030,29.4,104535,55.3,29.3,97500,86274,2.99,17950,40606,24,3767,70120,1.8,25549,23186,51.5,0,11.8,0,4.3,38.1,1604635,3582346,3207049,11760,398890,340,141.57,1832.5,0,0,0,0,0,0
MI,64294,63905,0.6,63905,5.7,23.2,13,46.3,92.5,4.9,0.6,0.5,0,1.5,4.7,88.3,84.7,1.4,3.7,87.9,14,4782,27.6,24592,78.2,12.9,111000,22152,2.67,20206,47892,15.8,884,10910,1.7,3184,3731,0,0,0,0,0,31.9,1117372,118801,446654,6976,37417,53,571.3,111.9,0,0,0,0,0,0
WI,182006,176695,3,176695,6.3,24.1,13.2,50.2,91.9,1.3,1.8,3.4,0.1,1.5,4.1,88.4,88.6,3.9,7.1,93.1,26.4,12168,19.7,75140,72.3,22.4,155700,69572,2.51,28186,58318,8.7,4899,95420,2.3,9474,12666,0.3,0,2.1,0,1,24.1,6802635,3528050,2902996,16710,296108,721,637.52,277.2,0,0,0,0,0,0
CA,18410,18546,-0.7,18546,6,20.6,21.4,49.9,81.4,1,12.8,1.6,0.1,3.1,20.9,64.3,88.2,10.4,14.9,88.1,21.4,1720,14.8,9513,64.1,11,236100,7873,2.3,27441,44796,12.8,525,5085,-2.4,1298,1709,0,0,0,0,0,0,0,0,241967,13876,91666,7,10180.88,1.8,0,0,0,0,0,0
